Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
2020-02-17,40.375728607177734,,70.37943267822266,59.79533004760742,112.37069702148438,253.7439727783203,46.75,,71.58666229248047,142.10000610351562,121.9000015258789,266.3500061035156,47.75,,73.32444763183594,143.8000030517578,122.5,276.79998779296875,46.54999923706055,,71.11111450195312,140.8000030517578,120.9749984741211,263.1499938964844,47.75,,73.32444763183594,141.3000030517578,121.44999694824219,271.29998779296875,2161371,,901080,8475514,2035556,2360644
2020-02-18,37.35294723510742,,70.6241226196289,59.14309310913086,112.48591613769531,255.3158721923828,43.25,,71.83555603027344,140.5500030517578,122.0250015258789,268.0,46.79999923706055,,73.04444122314453,141.75,122.42500305175781,269.5,40.04999923706055,,69.42666625976562,137.5,120.625,261.1000061035156,46.5,,71.64444732666016,141.75,121.875,266.6000061035156,5665324,,1135620,13205238,2505274,1305723
2020-02-19,38.17341995239258,,69.75021362304688,60.026771545410156,114.12215423583984,262.84197998046875,44.20000076293945,,70.94666290283203,142.64999389648438,123.80000305175781,275.8999938964844,44.400001525878906,,72.87110900878906,144.1999969482422,124.17500305175781,277.5,43.20000076293945,,70.5111083984375,141.60000610351562,122.25,268.0,43.5,,72.5199966430664,142.0,122.25,268.25,2615042,,3320291,8824394,3570768,1407555
2020-02-20,38.17341995239258,,71.57666015625,59.900535583496094,113.24641418457031,266.033447265625,44.20000076293945,,72.804443359375,142.35000610351562,122.8499984741211,279.25,44.79999923706055,,74.36888885498047,144.75,124.2750015258789,281.70001220703125,43.70000076293945,,71.11555480957031,140.8000030517578,122.55000305175781,275.0,43.900001525878906,,71.2844467163086,141.8000030517578,124.0,276.0,2389438,,2782215,11236035,4241614,1635070
2020-02-24,36.44611358642578,,70.68528747558594,56.050228118896484,112.55504608154297,261.8893127441406,42.20000076293945,,71.89777374267578,133.1999969482422,122.0999984741211,274.8999938964844,43.70000076293945,,72.88888549804688,139.9499969482422,123.9000015258789,280.45001220703125,41.5,,71.55555725097656,132.3000030517578,121.19999694824219,272.54998779296875,43.04999923706055,,72.42666625976562,139.85000610351562,122.5,277.0,2115016,,2551455,22666897,7043950,1577897
2020-02-25,36.402931213378906,,70.82511138916016,55.83982467651367,112.50895690917969,259.3171081542969,42.150001525878906,,72.04000091552734,132.6999969482422,122.05000305175781,272.20001220703125,42.650001525878906,,73.195556640625,135.89999389648438,123.32499694824219,277.95001220703125,41.54999923706055,,71.56444549560547,132.0500030517578,121.2249984741211,270.6499938964844,42.45000076293945,,72.44444274902344,134.39999389648438,122.07499694824219,276.0,2322554,,2099756,14590593,5059572,1030458
2020-02-26,35.668827056884766,,73.24580383300781,54.80887985229492,110.57311248779297,250.40965270996094,41.29999923706055,,74.5022201538086,130.25,119.94999694824219,262.8500061035156,42.29999923706055,,75.54222106933594,133.6999969482422,121.7249984741211,271.6000061035156,41.0,,71.71111297607422,129.35000610351562,119.19999694824219,262.0,41.900001525878906,,71.7155532836914,131.0,121.5250015258789,270.20001220703125,2347752,,7253156,14605029,7988388,1172207
2020-02-27,34.89154052734375,,71.44122314453125,54.93511962890625,106.74754333496094,249.07591247558594,40.400001525878906,,72.66666412353516,130.5500030517578,115.80000305175781,261.45001220703125,41.29999923706055,,76.35555267333984,131.39999389648438,119.4749984741211,264.25,40.20000076293945,,72.46221923828125,126.4000015258789,115.25,256.0,41.29999923706055,,74.66666412353516,130.0,119.4749984741211,261.79998779296875,2026301,,3510180,15600307,9733628,1083355
2020-02-28,32.08467102050781,,71.05670166015625,47.970916748046875,102.06927490234375,247.7421112060547,37.150001525878906,,72.27555847167969,114.0,110.7249984741211,260.04998779296875,39.400001525878906,,73.23999786376953,126.0,114.75,265.75,36.79999923706055,,70.23110961914062,112.0999984741211,109.8499984741211,254.25,38.54999923706055,,71.65333557128906,126.0,114.25,258.45001220703125,3523901,,4315646,57363091,11274618,2349628
2020-03-02,31.393747329711914,,70.70278930664062,46.68749237060547,101.76966857910156,238.31068420410156,36.349998474121094,,71.91555786132812,110.94999694824219,110.4000015258789,250.14999389648438,38.150001525878906,,74.04000091552734,119.4000015258789,113.5,263.54998779296875,36.099998474121094,,71.56444549560547,109.0,109.19999694824219,247.3000030517578,38.0,,72.88888549804688,117.55000305175781,112.9000015258789,260.04998779296875,2675507,,4296037,32732879,11532350,2160496
